rank,trial_number,f1,depth_multiplier,f2,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,mean_accuracy,std_accuracy,mean_f1,mean_auc,mean_train_time_sec,mean_inference_time_sec,mean_inference_ms_per_sample,mean_model_size_mb,mean_num_parameters,mean_train_memory_delta_mb,mean_peak_gpu_memory_mb,mean_final_train_loss,mean_best_val_loss,mean_best_epoch,mean_stopped_epoch
11,28,8,2,16,32,0.4,0.0009662932246740574,64,75,0.0,0.2,5,3,0.7,False,42,0.6554660551002311,0.13726525702501502,0.6195116992393574,0.7457967437245683,9.087995660250373,0.0021954289086689067,0.05130811156612283,0.00611114501953125,1602.0,0.011646412037037037,49.02294921875,0.5992353004634343,0.604162552492854,23.90740740740741,28.90740740740741
12,20,8,4,32,32,0.5,0.0006460385612843241,64,75,0.0,0.2,5,3,0.7,False,42,0.6554555723924024,0.1364468619000497,0.6159615241443506,0.7452659544448181,10.205614670592627,0.0019277612887823056,0.04553186109564854,0.01313018798828125,3442.0,0.004267939814814815,51.6806640625,0.5980275607032366,0.6031825897502311,26.62962962962963,31.62962962962963
13,4,16,6,96,32,0.5,0.0011033302621914383,64,75,0.0,0.2,5,3,0.7,False,42,0.6551416786187637,0.13631074209986033,0.6165185821403447,0.7390998906159948,8.353710307816746,0.001904732987491621,0.04545102109835044,0.06177520751953125,16194.0,0.06673177083333333,117.68798828125,0.5618911075025179,0.6056549580744753,12.092592592592593,17.09259259259259
14,25,8,4,32,32,0.5,0.0005025418259477117,64,75,0.0,0.2,5,3,0.7,False,42,0.6531996132172081,0.1323939058674439,0.6222716595520121,0.7429781214173082,11.208022671901508,0.0017379774152585822,0.04114474658689736,0.01313018798828125,3442.0,0.005027488425925926,51.6806640625,0.6001516299723307,0.6046759118820414,30.666666666666668,35.666666666666664
15,24,8,4,32,32,0.5,0.0006568413399339262,64,75,0.0,0.2,5,3,0.7,False,42,0.6529161545950909,0.1340867445521303,0.617432004175453,0.7438806090203595,10.277543562171761,0.0018060245174974963,0.042459885523736085,0.01313018798828125,3442.0,0.027199074074074073,51.6806640625,0.5959814610725592,0.60342135751321,27.39814814814815,32.398148148148145
16,5,8,6,48,32,0.5,0.0005689152903870087,64,75,0.0,0.2,5,3,0.7,False,42,0.6528600988008655,0.13303101988967614,0.6211205679110123,0.7443087679325957,10.365527885215231,0.0019560452691857115,0.04649506798009309,0.02210235595703125,5794.0,0.052300347222222224,60.765625,0.5907863995711606,0.6033801944535455,22.90740740740741,27.90740740740741
17,22,8,4,32,32,0.5,0.0005628913717818995,64,75,0.0,0.2,5,3,0.7,False,42,0.652548484383093,0.14366666057222893,0.6223146512997929,0.7469257850826094,10.563704494064613,0.00180865606806172,0.04251803575292717,0.01313018798828125,3442.0,0.028754340277777776,51.6806640625,0.5993670310453282,0.6035913547615948,28.13888888888889,33.138888888888886
18,13,8,6,48,32,0.5,0.000598884497339186,64,75,0.0,0.2,5,3,0.7,False,42,0.6525341259708037,0.1313700428964979,0.61619734728947,0.7448584620487425,10.145645900045768,0.0017027418981780539,0.0396943162652541,0.02210235595703125,5794.0,0.0005425347222222222,60.765625,0.5905827510931247,0.6028620069041664,22.824074074074073,27.824074074074073
19,14,8,6,48,32,0.5,0.000743777794569234,64,75,0.0,0.2,5,3,0.7,False,42,0.6523172923726063,0.1310391707455154,0.6087623852534485,0.7432388164218073,9.069289386403936,0.0017922832204796443,0.04172437773066898,0.02210235595703125,5794.0,0.007776331018518518,60.765625,0.5876599690372363,0.6026343907471057,19.98148148148148,24.98148148148148
20,27,8,4,32,32,0.5,0.0008478340495271744,64,75,0.0,0.2,5,3,0.7,False,42,0.6522843119093615,0.13284755426746692,0.6152044400714111,0.7400001191000554,9.067163526029347,0.0018879815874647142,0.044461548930325674,0.01313018798828125,3442.0,0.022099247685185185,51.6806640625,0.5955238739509142,0.6033763181648136,22.703703703703702,27.703703703703702
21,6,16,2,32,32,0.6,0.0015621324503128872,64,75,0.0,0.2,5,3,0.7,False,42,0.6516702960060833,0.14055530790401105,0.609781813308745,0.7396357015169449,8.297435355352786,0.0018342095745201394,0.04356154382283564,0.01416778564453125,3714.0,0.025065104166666668,96.15283203125,0.6055676418322103,0.6060367137561611,18.453703703703702,23.453703703703702
22,8,4,4,16,32,0.4,0.0015531742059858265,64,75,0.0,0.2,5,3,0.7,False,42,0.6508620012431362,0.132405904901693,0.6195533487674584,0.7408040761600974,6.523864470877689,0.0019173540856206306,0.04499875841646745,0.00559234619140625,1466.0,0.035554108796296294,26.47705078125,0.5976777314737541,0.6037209971451465,18.694444444444443,23.694444444444443
23,21,8,4,32,32,0.5,0.0005167271426017785,64,75,0.0,0.2,5,3,0.7,False,42,0.6507754806982222,0.13378987330643158,0.6133665832983143,0.7481040062930903,11.227820679960402,0.00187745767039747,0.04461725101893538,0.01313018798828125,3442.0,0.011212384259259259,51.6806640625,0.6004784321979538,0.6044287704391245,29.39814814814815,34.398148148148145
24,29,8,4,32,32,0.6,0.0006251487415417879,64,75,0.0,0.2,5,3,0.7,False,42,0.6505174263594425,0.13353233752544313,0.6200949786834586,0.7451263144236817,11.355947323954616,0.0017645907403978829,0.04152650422386251,0.01313018798828125,3442.0,0.004123263888888889,51.6806640625,0.6105051068524782,0.6066164249623263,30.833333333333332,35.833333333333336
25,15,4,6,24,32,0.5,0.0009053823911578895,64,75,0.0,0.2,5,3,0.7,False,42,0.6504963018141756,0.13070768341953365,0.602158248165596,0.743797583164534,8.427819944940792,0.001859337667055014,0.04365001143947757,0.00885772705078125,2322.0,0.00010850694444444444,30.97314453125,0.602752273201905,0.6043514576223161,23.73148148148148,28.73148148148148
26,26,16,4,64,32,0.5,0.0005855621313066713,64,75,0.0,0.2,5,3,0.7,False,42,0.6482811145790206,0.13430784176671842,0.6193963631088648,0.7406711810396932,9.610819763857526,0.0019314332587075317,0.0458787591357202,0.03406524658203125,8930.0,0.01294849537037037,100.25830078125,0.5823452998390006,0.6027302309686755,19.574074074074073,24.574074074074073
27,7,4,2,8,32,0.4,0.0011856154694823878,64,75,0.0,0.2,5,3,0.7,False,42,0.6480039118067802,0.1326639895187898,0.6094966279545082,0.7427108557359449,8.07559200245305,0.0019232072593661509,0.044854444758248374,0.00281524658203125,738.0,0.012044270833333334,25.462890625,0.6152928265867486,0.6085382622517185,25.64814814814815,30.64814814814815
28,9,4,4,16,32,0.6,0.001846073046190558,64,75,0.0,0.2,5,3,0.7,False,42,0.6461561476050548,0.1322169611839872,0.5990875877774178,0.7422597161942731,7.0433786559297005,0.0018222577222062413,0.04270671026540325,0.00559234619140625,1466.0,0.028537326388888888,26.47705078125,0.619584445015522,0.6097504129196393,20.75925925925926,25.75925925925926
29,3,16,2,32,32,0.6,0.001823889061152876,64,75,0.0,0.2,5,3,0.7,False,42,0.6411007629403536,0.13787746802144535,0.6063911015457372,0.736087777649911,7.137126270021933,0.0018296513272044077,0.043385486929618425,0.01416778564453125,3714.0,0.021339699074074073,96.15283203125,0.6079828580239249,0.6066557715336481,16.194444444444443,21.194444444444443
30,0,4,2,8,32,0.5,0.0013870033109430683,64,75,0.0,0.2,5,3,0.7,False,42,0.6409128459048229,0.12568168065930807,0.6041457388682249,0.7416824379495426,8.385412974483053,0.00211434089902064,0.05093463828350087,0.00281524658203125,738.0,4.581958912037037,25.462890625,0.6235845779715959,0.6126775649778637,25.62962962962963,30.62962962962963
