trial_number,f1,depth_multiplier,f2,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,accuracy,f1_score,roc_auc,support,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb,final_train_loss,best_train_loss,best_val_loss,best_epoch,stopped_epoch
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,1,1,0.7111111111111111,0.6666666666666667,0.774703557312253,45,9.059316541010048,0.0015174869913607836,0.033721933141350746,0.02210235595703125,5794,0.02734375,60.765625,0.5914720933316118,0.6029259926181728,0.6038327018419901,18,23
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,2,2,0.7777777777777778,0.7222222222222223,0.9268774703557313,45,16.5067839549738,0.0021406009909696877,0.0475689109104375,0.02210235595703125,5794,0.0,60.765625,0.5756445011850131,0.5781322172132589,0.5961710135142009,35,40
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,3,3,0.37777777777777777,0.41666666666666663,0.2984189723320158,45,13.392862621985842,0.0013966640108264983,0.03103697801836663,0.02210235595703125,5794,0.0,60.765625,0.5835327354528136,0.5757673069582148,0.5989934146404267,30,35
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,4,4,0.5111111111111111,0.65625,0.7608695652173912,45,18.57665238302434,0.0014515589573420584,0.032256865718712405,0.02210235595703125,5794,0.0,60.765625,0.5612805137189768,0.5639528899879779,0.5947827219963073,38,43
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,5,5,0.4888888888888889,0.6461538461538462,0.4821428571428572,45,6.845144585007802,0.0022197309881448746,0.04932735529210833,0.02210235595703125,5794,0.0,60.765625,0.6035842410588669,0.6194284780550812,0.6153743028640747,10,15
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,6,6,0.5333333333333333,0.08695652173913042,0.5317460317460317,45,19.114962539984845,0.0014413620228879154,0.03203026717528701,0.02210235595703125,5794,0.0,60.765625,0.5707208009089454,0.5745864555997363,0.5884546637535095,40,45
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,7,7,0.9111111111111111,0.9166666666666666,0.9881422924901186,45,13.974680938001256,0.0013285009772516787,0.029522243938926194,0.02210235595703125,5794,0.0,60.765625,0.5898088176371687,0.5930223656912982,0.5969802021980286,25,30
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,8,8,0.7111111111111111,0.711111111111111,0.7588932806324111,45,8.095037983031943,0.0020485539571382105,0.04552342126973801,0.02210235595703125,5794,0.0,60.765625,0.5932914412627786,0.6052915484218274,0.6060101946194967,15,20
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,9,9,0.5333333333333333,0.3225806451612903,0.5753968253968254,45,13.501866781967692,0.0019891909905709326,0.04420424423490961,0.02210235595703125,5794,0.0,60.765625,0.5672941743317297,0.5820770789000947,0.5920154134432475,28,33
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,10,10,0.5555555555555556,0.5652173913043478,0.6825396825396826,45,14.040200485964306,0.0014857819769531488,0.03301737726562553,0.02210235595703125,5794,0.0546875,60.765625,0.5771055969141298,0.5773046617790804,0.5998258193333944,30,35
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,11,11,0.6,0.5909090909090909,0.5928853754940712,45,9.911307838046923,0.0021448649931699038,0.047663666514886745,0.02210235595703125,5794,0.0,60.765625,0.5869741146847353,0.6002042424880852,0.5981668710708619,20,25
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,12,12,0.7777777777777778,0.75,0.8452380952380952,45,9.054914365988225,0.0012548210215754807,0.02788491159056624,0.02210235595703125,5794,0.0,60.765625,0.594922376891314,0.6036682972463511,0.6041210214296977,15,20
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,13,13,0.6857142857142857,0.717948717948718,0.7745098039215687,35,17.285874795983545,0.0015775520005263388,0.04507291430075254,0.02210235595703125,5794,0.0,60.765625,0.5769749516147679,0.5799535048210015,0.5989653666814169,32,37
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,14,14,0.6666666666666666,0.7272727272727273,0.7015810276679841,45,11.1622697810526,0.002327219001017511,0.051715977800389126,0.02210235595703125,5794,0.0,60.765625,0.5860534062830068,0.5864369404517998,0.6060411254564921,21,26
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,15,15,0.6666666666666666,0.7457627118644068,0.9940711462450593,45,13.49396438500844,0.0021633729920722544,0.04807495537938344,0.02210235595703125,5794,0.0,60.765625,0.585801362991333,0.5927489046323098,0.5993513703346253,26,31
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,16,16,0.7333333333333333,0.7777777777777777,0.7549407114624506,45,11.392204075993504,0.00153718504589051,0.034159667686455786,0.02210235595703125,5794,0.0,60.765625,0.5780806637416451,0.5874325931072235,0.603423277537028,24,29
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,17,17,0.5,0.16000000000000003,0.5931818181818181,42,12.097527618985623,0.00220017897663638,0.05238521372943762,0.02210235595703125,5794,0.0,60.765625,0.575915137589988,0.5806860246900785,0.626272706190745,27,32
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,18,18,0.4444444444444444,0.4186046511627907,0.40711462450592883,45,11.74411206698278,0.0012587320525199175,0.0279718233893315,0.02210235595703125,5794,0.0,60.765625,0.5855909141443544,0.6022532708564047,0.5993768731753032,23,28
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,19,19,0.7111111111111111,0.7636363636363637,0.808300395256917,45,11.129420485987794,0.0013756449916400015,0.030569888703111146,0.02210235595703125,5794,0.0,60.765625,0.5868140469163151,0.5993892459546105,0.5984954913457234,20,25
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,20,20,0.5333333333333333,0.6557377049180326,0.4268774703557312,45,11.962061648955569,0.0013936639879830182,0.03097031084406707,0.02210235595703125,5794,0.0,60.765625,0.5748457403506263,0.5961460551973117,0.6043030063311259,22,27
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,21,21,0.5555555555555556,0.6774193548387097,0.8452380952380952,45,9.728353596990928,0.002179158036597073,0.048425734146601625,0.02210235595703125,5794,0.0,60.765625,0.5893962524705014,0.595239711514974,0.6009842177232106,19,24
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,22,22,0.6666666666666666,0.6666666666666666,0.6620553359683794,45,9.99786021001637,0.0015239159693010151,0.033864799317800336,0.02210235595703125,5794,0.0,60.765625,0.5779866904525434,0.5860769041513992,0.5996648947397868,21,26
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,23,23,0.6136363636363636,0.7017543859649122,0.8099173553719008,44,7.162818492972292,0.002135229005943984,0.04852793195327236,0.02210235595703125,5794,0.0,60.765625,0.5965488563149662,0.6142119007595515,0.6223208983739217,14,19
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,24,24,0.6666666666666666,0.7272727272727273,0.7012987012987013,18,6.684074396034703,0.0020466719870455563,0.11370399928030868,0.02210235595703125,5794,0.0,60.765625,0.5923244735952151,0.6091678172855054,0.6183668335278829,12,17
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,25,25,0.7333333333333333,0.7272727272727272,0.849802371541502,45,10.793051942018792,0.002215965010691434,0.049243666904254094,0.02210235595703125,5794,0.0,60.765625,0.5923710687685821,0.6097960259954808,0.6046958565711975,19,24
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,26,26,0.7555555555555555,0.7441860465116279,0.8869047619047619,45,12.431268084037583,0.0022172920289449394,0.049273156198776424,0.02210235595703125,5794,0.0,60.765625,0.5754377357030319,0.5810304516452854,0.5984400848547617,28,33
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,27,27,0.4888888888888889,0.5964912280701754,0.6996047430830039,45,8.717356936016586,0.0013879379839636385,0.030843066310303077,0.02210235595703125,5794,0.0,60.765625,0.5921175939551855,0.6080621571864112,0.6026955048243204,18,23
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,28,28,0.5777777777777777,0.5365853658536586,0.5632411067193676,45,8.269806071009953,0.0014301920309662819,0.031782045132584036,0.02210235595703125,5794,0.0,60.765625,0.5874090012857469,0.5960892398478621,0.5969104131062826,17,22
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,29,29,0.8888888888888888,0.8979591836734693,0.9822134387351779,45,13.225577044009697,0.0013775319675914943,0.03061182150203321,0.02210235595703125,5794,0.0,60.765625,0.5806230710724652,0.5841398905899565,0.6054374416669209,30,35
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,30,30,0.6,0.5,0.75,45,11.478032935992815,0.0014176900149323046,0.03150422255405121,0.02210235595703125,5794,0.0,60.765625,0.5800812380798792,0.5913376196966333,0.5894062379995982,25,30
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,31,31,0.8222222222222222,0.8181818181818182,0.8814229249011858,45,11.777355190948583,0.0013928969856351614,0.03095326634744803,0.02210235595703125,5794,0.0,60.765625,0.5928952552504458,0.5948466921256761,0.6070090055465698,22,27
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,32,32,0.8181818181818182,0.84,0.8964803312629399,44,9.206556525023188,0.0022660410031676292,0.05150093189017339,0.02210235595703125,5794,0.0,60.765625,0.5917451826192565,0.6073712110519409,0.5864276965459188,19,24
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,33,33,0.7111111111111111,0.6486486486486486,0.8675889328063242,45,14.20019886502996,0.0013448470272123814,0.029885489493608475,0.02210235595703125,5794,0.0,60.765625,0.583788438873776,0.5848310862557363,0.5930023233095805,26,31
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,34,34,0.9111111111111111,0.9166666666666666,0.9623015873015872,45,14.337086301995441,0.0013340919977054,0.029646488837897778,0.02210235595703125,5794,0.0,60.765625,0.5820083880828599,0.592396719981048,0.5945901314417521,31,36
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,35,35,0.8222222222222222,0.7894736842105263,0.8853754940711462,45,10.448004044010304,0.002219529007561505,0.04932286683470011,0.02210235595703125,5794,0.0,60.765625,0.5860617918483282,0.5905091009907804,0.5956823746363322,21,26
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,36,36,0.5227272727272727,0.6037735849056604,0.5826446280991735,44,11.493513512948994,0.0012710249866358936,0.028886931514452124,0.02210235595703125,5794,0.0,60.765625,0.5803973215111231,0.5854307392896232,0.5930452466011047,25,30
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,37,37,0.5111111111111111,0.0,0.5039525691699605,45,10.88431648799451,0.003479939012322575,0.07733197805161277,0.02210235595703125,5794,0.0,60.765625,0.5920047426627855,0.606069406210366,0.5912964701652527,19,24
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,38,38,0.6222222222222222,0.4848484848484849,0.6225296442687748,45,15.143916591012385,0.0014255130081437528,0.03167806684763895,0.02210235595703125,5794,0.0,60.765625,0.5725365922612659,0.5822741808527607,0.5904732942581177,31,36
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,39,39,0.5454545454545454,0.5454545454545454,0.6563146997929608,44,9.821409058989957,0.0016161769744940102,0.03673129487486387,0.02210235595703125,5794,0.0,60.765625,0.5966653424804493,0.5907764838913739,0.5935160239537557,21,26
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,40,40,0.5111111111111111,0.45,0.5575396825396826,45,10.491341518994886,0.0014631570084020495,0.03251460018671221,0.02210235595703125,5794,0.0,60.765625,0.5898995071144427,0.5928200048915411,0.597859122355779,23,28
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,41,41,0.6222222222222222,0.4848484848484849,0.6349206349206349,45,16.487838554021437,0.0014212529640644789,0.03158339920143286,0.02210235595703125,5794,0.0,60.765625,0.5589378072043597,0.5699768248250929,0.605052399635315,38,43
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,42,42,0.8444444444444444,0.8205128205128205,0.9426877470355731,45,9.014614059007727,0.002141308970749378,0.04758464379443063,0.02210235595703125,5794,0.0,60.765625,0.5911286220712176,0.6010717749595642,0.6008952220280965,19,24
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,43,43,0.8888888888888888,0.8837209302325582,0.9545454545454546,45,9.789065554970875,0.001338910951744765,0.029753576705439225,0.02210235595703125,5794,0.0,60.765625,0.5870648920536041,0.5956017718476764,0.6024157603581747,20,25
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,44,44,0.896551724137931,0.896551724137931,0.9142857142857143,29,8.604418364993762,0.0014021869865246117,0.0483512753974004,0.02210235595703125,5794,0.0,60.765625,0.5970181019629462,0.6073006174321902,0.6097351988156636,15,20
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,45,45,0.7111111111111111,0.6060606060606061,0.8695652173913044,45,12.392289904993959,0.0022126149851828814,0.04916922189295292,0.02210235595703125,5794,0.0,60.765625,0.5906027681746725,0.6047553490784209,0.5942281723022461,23,28
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,46,46,0.7777777777777778,0.7368421052631579,0.8241106719367589,45,8.52779856196139,0.0014340339694172144,0.03186742154260476,0.02210235595703125,5794,0.0,60.765625,0.6015104328171682,0.6111588144706468,0.5949222524960835,15,20
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,47,47,0.4888888888888889,0.6101694915254237,0.5992063492063492,45,14.158790349960327,0.0018836669623851776,0.04185926583078172,0.02210235595703125,5794,0.0,60.765625,0.5685417813769842,0.5796262460239863,0.5960913360118866,26,31
11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,48,48,0.8235294117647058,0.8421052631578948,0.9285714285714286,17,8.68836711999029,0.0022791040246374905,0.13406494262573473,0.02210235595703125,5794,0.0,60.765625,0.5940521612005719,0.6000340838553542,0.6091562151908875,18,23
