parameter_name,parameter_value,fold,subject,epoch,train_loss,val_loss,learning_rate,f1,depth_multiplier,f2,kernel_length,dropout_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed
use_class_weight,True,1,1,1,0.7174588694716945,0.6880789081255595,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,1,1,2,0.6773640874660376,0.660134474436442,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,1,1,3,0.6576888597372806,0.6209228277206421,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,1,1,4,0.6421921009367163,0.6186875700950623,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,1,1,5,0.6336273950609294,0.6286503275235494,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,1,1,6,0.6198459856889464,0.6050274888674418,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,1,1,7,0.6190026483752511,0.6089029371738434,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,1,1,8,0.6153687478014918,0.594153638680776,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,1,1,9,0.6164512905207548,0.5873737116654714,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,1,1,10,0.6105089487903046,0.5770881732304891,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,1,1,11,0.6064894560611609,0.5939897874991099,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,1,1,12,0.6020482868859263,0.5695657173792521,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,1,1,13,0.5993224829435349,0.5683178166548412,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,1,1,14,0.5938671025814433,0.5743117113908132,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,1,1,15,0.595382809638977,0.6048124333222707,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,1,1,16,0.5972071700926983,0.5751590172449748,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,1,1,17,0.5915029550140555,0.5755963941415151,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,1,1,18,0.5935066468787916,0.5722217937310536,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,1,1,19,0.5852148340958537,0.5749986092249553,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,1,1,20,0.5817534268805475,0.5699867725372314,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,1,1,21,0.578019624180866,0.5707132399082184,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,1,1,22,0.582916311693914,0.5711190621058146,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,1,1,23,0.5770455546902887,0.5732520838578542,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,2,2,1,0.709969415809169,0.6907967130343119,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,2,2,2,0.6842136902339531,0.6695831894874573,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,2,2,3,0.6595901530800443,0.681699522336324,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,2,2,4,0.6455950393821254,0.6078837434450786,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,2,2,5,0.6235520708741564,0.598055237531662,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,2,2,6,0.6296086586786039,0.591568261384964,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,2,2,7,0.6191969656131484,0.5838775197664897,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,2,2,8,0.6167488231351881,0.6087138235569001,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,2,2,9,0.610745572682583,0.5976988295714061,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
