parameter_name,parameter_value,temporal_filters,filter_length,pool_length,pool_stride,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,mean_accuracy,std_accuracy,mean_f1,mean_auc,mean_train_time_sec,mean_inference_time_sec,mean_inference_ms_per_sample,mean_model_size_mb,mean_num_parameters,mean_train_memory_delta_mb,mean_peak_gpu_memory_mb,mean_final_train_loss,mean_best_val_loss,mean_best_epoch,mean_stopped_epoch
learning_rate,0.0001,40,25,75,15,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,0.671174621702252,0.12766270691701986,0.6465311622085169,0.7536234634982518,17.554532938649775,0.0032472738013085392,0.07439862525239604,0.10422515869140625,27322.0,7.233796296296296e-05,130.494140625,0.5294694409157066,0.5629934452934029,30.51851851851852,39.55555555555556
learning_rate,0.001,40,25,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,0.6662045544124333,0.1233704535817963,0.6434576072409525,0.7503767186786333,10.810805899108312,0.002915253750634966,0.0670107859757557,0.10422515869140625,27322.0,0.001338252314814815,130.494140625,0.5232698475928278,0.5674905925069327,16.962962962962962,26.953703703703702
learning_rate,0.01,40,25,75,15,0.5,0.01,32,50,0.0,0.1,10,5,0.5,True,42,0.6505249879555828,0.12241604462658459,0.6189503835935177,0.7519555663432919,8.496414477967106,0.002807989664789703,0.06398846891834145,0.10422515869140625,27322.0,0.0,130.494140625,0.5706059129603167,0.5941737159718701,10.953703703703704,20.953703703703702
