parameter_name,parameter_value,solver,shrinkage,csp_components,fold,subject,accuracy,f1_score,roc_auc
shrinkage,,lsqr,,6,1,1,0.6888888888888889,0.7083333333333334,0.841897233201581
shrinkage,,lsqr,,6,2,2,0.7111111111111111,0.5806451612903226,0.8695652173913043
shrinkage,,lsqr,,6,3,3,0.4666666666666667,0.4782608695652174,0.42292490118577075
shrinkage,,lsqr,,6,4,4,0.4888888888888889,0.6567164179104478,0.8142292490118577
shrinkage,,lsqr,,6,5,5,0.4888888888888889,0.6567164179104478,0.34920634920634924
shrinkage,,lsqr,,6,6,6,0.5333333333333333,0.0,0.496031746031746
shrinkage,,lsqr,,6,7,7,0.6888888888888889,0.7586206896551724,0.9881422924901186
shrinkage,,lsqr,,6,8,8,0.6222222222222222,0.6382978723404256,0.6818181818181819
shrinkage,,lsqr,,6,9,9,0.6,0.55,0.5436507936507936
shrinkage,,lsqr,,6,10,10,0.6444444444444445,0.6521739130434783,0.6805555555555556
shrinkage,,lsqr,,6,11,11,0.5111111111111111,0.6666666666666666,0.43478260869565216
shrinkage,,lsqr,,6,12,12,0.6222222222222222,0.5853658536585366,0.7063492063492064
shrinkage,,lsqr,,6,13,13,0.8,0.8108108108108109,0.8954248366013072
shrinkage,,lsqr,,6,14,14,0.6666666666666666,0.7457627118644068,0.7964426877470356
shrinkage,,lsqr,,6,15,15,0.5777777777777777,0.6984126984126984,0.9486166007905139
shrinkage,,lsqr,,6,16,16,0.5333333333333333,0.6865671641791045,0.7233201581027667
shrinkage,,lsqr,,6,17,17,0.5238095238095238,0.0,0.6022727272727272
shrinkage,,lsqr,,6,18,18,0.5111111111111111,0.6764705882352942,0.40118577075098816
shrinkage,,lsqr,,6,19,19,0.7111111111111111,0.7719298245614035,0.8399209486166008
shrinkage,,lsqr,,6,20,20,0.5333333333333333,0.4878048780487805,0.5790513833992095
shrinkage,,lsqr,,6,21,21,0.5555555555555556,0.6428571428571429,0.7281746031746031
shrinkage,,lsqr,,6,22,22,0.5111111111111111,0.6764705882352942,0.7233201581027668
shrinkage,,lsqr,,6,23,23,0.6590909090909091,0.7368421052631579,0.8512396694214875
shrinkage,,lsqr,,6,24,24,0.5,0.3076923076923077,0.6233766233766234
shrinkage,,lsqr,,6,25,25,0.6888888888888889,0.72,0.7707509881422925
shrinkage,,lsqr,,6,26,26,0.6222222222222222,0.711864406779661,0.7996031746031746
shrinkage,,lsqr,,6,27,27,0.4666666666666667,0.625,0.5909090909090909
shrinkage,,lsqr,,6,28,28,0.5111111111111111,0.47619047619047616,0.5494071146245059
shrinkage,,lsqr,,6,29,29,0.8222222222222222,0.8461538461538461,1.0
shrinkage,,lsqr,,6,30,30,0.6,0.35714285714285715,0.6726190476190476
shrinkage,,lsqr,,6,31,31,0.8888888888888888,0.8936170212765957,0.9644268774703557
shrinkage,,lsqr,,6,32,32,0.7045454545454546,0.7796610169491526,0.9503105590062112
shrinkage,,lsqr,,6,33,33,0.7333333333333333,0.6666666666666666,0.8517786561264822
shrinkage,,lsqr,,6,34,34,0.8666666666666667,0.8888888888888888,0.9841269841269841
shrinkage,,lsqr,,6,35,35,0.6888888888888889,0.5882352941176471,0.8300395256916997
shrinkage,,lsqr,,6,36,36,0.38636363636363635,0.47058823529411764,0.40082644628099173
shrinkage,,lsqr,,6,37,37,0.5111111111111111,0.0,0.5770750988142292
shrinkage,,lsqr,,6,38,38,0.5333333333333333,0.43243243243243246,0.5948616600790514
shrinkage,,lsqr,,6,39,39,0.5454545454545454,0.4444444444444444,0.5134575569358178
shrinkage,,lsqr,,6,40,40,0.5333333333333333,0.5714285714285714,0.5376984126984127
shrinkage,,lsqr,,6,41,41,0.7333333333333333,0.7142857142857143,0.7738095238095238
shrinkage,,lsqr,,6,42,42,0.9111111111111111,0.9130434782608695,0.974308300395257
shrinkage,,lsqr,,6,43,43,0.8,0.7567567567567568,0.9268774703557312
