parameter_name,parameter_value,F1,D,F2,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,mean_accuracy,std_accuracy,mean_f1,mean_auc,mean_train_time_sec,mean_inference_time_sec,mean_inference_ms_per_sample,mean_model_size_mb,mean_num_parameters,mean_train_memory_delta_mb,mean_peak_gpu_memory_mb
D,1,8,1,8,64,0.25,0.001,32,20,0.0,0.5471122490889149,0.10795151511007767,0.42571482231344543,0.683084422552369,9.2186449443054,0.0022012460560492603,0.05050602528409666,0.011692047119140625,1130.0,0.01265914351851852,25.77978515625
D,2,8,2,16,64,0.25,0.001,32,20,0.0,0.5458568333493655,0.08944767746858308,0.47869202031238484,0.6892082575799732,10.708039033463205,0.00228660012039149,0.05249826602015328,0.014682769775390625,1858.0,0.010850694444444444,26.44873046875
D,4,8,4,32,64,0.25,0.001,32,20,0.0,0.5580858530553624,0.10957775800363623,0.4634344508631714,0.6878027543227567,14.365756093361092,0.0026675119445119183,0.061287658087967864,0.021945953369140625,3698.0,0.010959201388888888,27.79443359375
