parameter_name,parameter_value,F1,D,F2,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,fold,subject,accuracy,f1_score,roc_auc,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb
D,1,8,1,8,64,0.25,0.001,32,20,0.0,19,19,0.7111111111111111,0.5806451612903226,0.8102766798418972,9.16229043200292,0.002109574001224246,0.046879422249427684,0.011692047119140625,1130,0.0078125,25.7451171875
D,1,8,1,8,64,0.25,0.001,32,20,0.0,20,20,0.5111111111111111,0.0,0.541501976284585,9.154298637004104,0.002105382998706773,0.04678628886015051,0.011692047119140625,1130,0.01171875,25.74609375
D,1,8,1,8,64,0.25,0.001,32,20,0.0,21,21,0.5333333333333333,0.0,0.8948412698412699,9.192978881001181,0.0022177589999046177,0.04928353333121373,0.011692047119140625,1130,0.015625,25.7470703125
D,1,8,1,8,64,0.25,0.001,32,20,0.0,22,22,0.5555555555555556,0.4444444444444444,0.5434782608695652,9.293355269997846,0.002276425999298226,0.05058724442884947,0.011692047119140625,1130,0.01171875,25.748046875
D,1,8,1,8,64,0.25,0.001,32,20,0.0,23,23,0.5,0.65625,0.7148760330578514,9.542228678998072,0.0022575690018129535,0.051308386404839854,0.011692047119140625,1130,0.01171875,25.7490234375
D,1,8,1,8,64,0.25,0.001,32,20,0.0,24,24,0.6111111111111112,0.7586206896551724,0.5064935064935066,9.382957294001244,0.0010097039994434454,0.05609466663574696,0.011692047119140625,1130,0.0078125,25.75
D,1,8,1,8,64,0.25,0.001,32,20,0.0,25,25,0.5111111111111111,0.6764705882352942,0.808300395256917,9.331476011000632,0.002266229006636422,0.05036064459192049,0.011692047119140625,1130,0.01171875,25.7509765625
D,1,8,1,8,64,0.25,0.001,32,20,0.0,26,26,0.4666666666666667,0.6363636363636364,0.5873015873015872,9.297281781000493,0.002286832001118455,0.05081848891374345,0.011692047119140625,1130,0.01171875,25.751953125
D,1,8,1,8,64,0.25,0.001,32,20,0.0,27,27,0.5333333333333333,0.08695652173913043,0.6541501976284585,9.308827061002376,0.002590853997389786,0.05757453327532858,0.011692047119140625,1130,0.01171875,25.7529296875
D,1,8,1,8,64,0.25,0.001,32,20,0.0,28,28,0.5111111111111111,0.6764705882352942,0.5948616600790515,9.29001654899912,0.002194640997913666,0.048769799953637026,0.011692047119140625,1130,0.01171875,25.75390625
D,1,8,1,8,64,0.25,0.001,32,20,0.0,29,29,0.4888888888888889,0.6567164179104478,0.9347826086956522,9.129386389999127,0.0021687300031771883,0.04819400007060419,0.011692047119140625,1130,0.0078125,25.7548828125
D,1,8,1,8,64,0.25,0.001,32,20,0.0,30,30,0.4666666666666667,0.6363636363636364,0.7182539682539683,9.151153377002629,0.0023960649996297434,0.053245888880660966,0.011692047119140625,1130,0.01171875,25.755859375
