rank,parameter_name,parameter_value,f1,depth_multiplier,f2,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,mean_accuracy,std_accuracy,mean_f1,mean_auc,mean_train_time_sec,mean_inference_time_sec,mean_inference_ms_per_sample,mean_model_size_mb,mean_num_parameters,mean_train_memory_delta_mb,mean_peak_gpu_memory_mb,mean_final_train_loss,mean_best_val_loss,mean_best_epoch,mean_stopped_epoch
1,early_stopping_patience,5,8,2,16,64,0.25,0.001,32,50,0.0,0.1,5,5,0.5,True,42,0.6493084837407714,0.13300864100563287,0.6253617421225749,0.7405630761909798,13.391853768207646,0.00531658126231007,0.12360821026568981,0.00708770751953125,1858.0,0.0,24.5439453125,0.5862430343888766,0.597820649875535,13.833333333333334,18.833333333333332
2,early_stopping_patience,10,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,0.6458625030848607,0.13402846185717557,0.6290929262402343,0.7382320467197326,22.186887617649283,0.004937385266034484,0.11326599565140126,0.00708770751953125,1858.0,0.0,24.5439453125,0.5664006201270503,0.5947761615669286,21.62962962962963,31.324074074074073
3,early_stopping_patience,15,8,2,16,64,0.25,0.001,32,50,0.0,0.1,15,5,0.5,True,42,0.6423418739115235,0.13427491084158916,0.6333858895225889,0.7347272120317597,26.555214532269424,0.005203099909488595,0.12065243922978576,0.00708770751953125,1858.0,0.0,24.5439453125,0.5609872948197441,0.5938357909888398,23.15740740740741,37.4537037037037
