parameter_name,parameter_value,f1,depth_multiplier,f2,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,accuracy,f1_score,roc_auc,support,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb,final_train_loss,best_train_loss,best_val_loss,best_epoch,stopped_epoch
early_stopping_patience,5,8,2,16,64,0.25,0.001,32,50,0.0,0.1,5,5,0.5,True,42,1,1,0.6888888888888889,0.7083333333333333,0.7193675889328063,45,12.243898204003926,0.006568756012711674,0.1459723558380372,0.00708770751953125,1858,0.0,24.5439453125,0.5853851798808936,0.6062579270113598,0.5740039845307668,12,17
early_stopping_patience,5,8,2,16,64,0.25,0.001,32,50,0.0,0.1,5,5,0.5,True,42,2,2,0.7333333333333333,0.6470588235294118,0.9525691699604744,45,11.780186469957698,0.003709045995492488,0.08242324434427752,0.00708770751953125,1858,0.0,24.5439453125,0.593072680135568,0.6045721972530539,0.5776754438877105,12,17
early_stopping_patience,5,8,2,16,64,0.25,0.001,32,50,0.0,0.1,5,5,0.5,True,42,3,3,0.37777777777777777,0.41666666666666663,0.34782608695652173,45,18.154932436009403,0.005681706010363996,0.12626013356364435,0.00708770751953125,1858,0.0,24.5439453125,0.5743116212613655,0.5861248800700362,0.5577637394269307,21,26
early_stopping_patience,5,8,2,16,64,0.25,0.001,32,50,0.0,0.1,5,5,0.5,True,42,4,4,0.5333333333333333,0.676923076923077,0.7411067193675889,45,19.82068427297054,0.004176771035417914,0.0928171341203981,0.00708770751953125,1858,0.0,24.5439453125,0.5809139744801954,0.5817968267382998,0.5673884193102519,23,28
early_stopping_patience,5,8,2,16,64,0.25,0.001,32,50,0.0,0.1,5,5,0.5,True,42,5,5,0.4666666666666667,0.6363636363636364,0.4642857142857143,45,13.387287425983232,0.006585308990906924,0.14634019979793167,0.00708770751953125,1858,0.0,24.5439453125,0.5807636432123907,0.5981291505423459,0.595667157570521,14,19
early_stopping_patience,5,8,2,16,64,0.25,0.001,32,50,0.0,0.1,5,5,0.5,True,42,6,6,0.4666666666666667,0.42857142857142855,0.4543650793650794,45,9.308240590966307,0.0057063589920289814,0.12680797760064405,0.00708770751953125,1858,0.0,24.5439453125,0.5982599563219331,0.6109204213276054,0.5822050472100576,8,13
early_stopping_patience,5,8,2,16,64,0.25,0.001,32,50,0.0,0.1,5,5,0.5,True,42,7,7,0.8444444444444444,0.8571428571428572,0.9802371541501975,45,12.054409506032243,0.004132074012886733,0.09182386695303851,0.00708770751953125,1858,0.0,24.5439453125,0.5912673929423997,0.6024228740822185,0.5742812891801198,12,17
early_stopping_patience,5,8,2,16,64,0.25,0.001,32,50,0.0,0.1,5,5,0.5,True,42,8,8,0.6888888888888889,0.6818181818181819,0.758893280632411,45,20.344643692020327,0.004221610026434064,0.09381355614297919,0.00708770751953125,1858,0.0,24.5439453125,0.568859634300073,0.5841688193155058,0.5781324565410614,24,29
early_stopping_patience,5,8,2,16,64,0.25,0.001,32,50,0.0,0.1,5,5,0.5,True,42,9,9,0.5555555555555556,0.4444444444444444,0.5753968253968255,45,11.429434191959444,0.006867396994493902,0.15260882209986448,0.00708770751953125,1858,0.0,24.5439453125,0.5753443746855764,0.5988070725491552,0.5886271735032399,11,16
early_stopping_patience,5,8,2,16,64,0.25,0.001,32,50,0.0,0.1,5,5,0.5,True,42,10,10,0.6,0.5909090909090909,0.6964285714285715,45,12.708961705036927,0.005682824004907161,0.1262849778868258,0.00708770751953125,1858,0.0,24.5439453125,0.5824711381485967,0.6023331435792374,0.592039829492569,13,18
