parameter_name,parameter_value,kernel,C,gamma,degree,coef0,class_weight,csp_components,mean_accuracy,std_accuracy,mean_f1,mean_auc
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,0.6204870219724566,0.13242285708596382,0.5311926497901199,0.7147533768254648
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,0.6204870219724566,0.13242285708596382,0.5311926497901199,0.7147533768254648
gamma,0.01,rbf,1.0,0.01,3,0.0,balanced,6,0.6274833285335588,0.1309005053713915,0.5665772785141628,0.7257659172385112
gamma,0.1,rbf,1.0,0.1,3,0.0,balanced,6,0.6238248346724676,0.13358062486035255,0.5440290384755175,0.7193227437792783
gamma,1.0,rbf,1.0,1.0,3,0.0,balanced,6,0.6139375834618084,0.12920404391818,0.5193982604490303,0.6859311837664888
