parameter_name,parameter_value,kernel,C,gamma,degree,coef0,class_weight,csp_components,mean_accuracy,std_accuracy,mean_f1,mean_auc
C,0.1,linear,0.1,scale,3,0.0,balanced,6,0.6267027651722441,0.13649997990658602,0.5763576478413821,0.7257609779001918
C,1.0,linear,1.0,scale,3,0.0,balanced,6,0.6262291593825462,0.13348346133578617,0.5735975696599295,0.7258128497874792
C,10.0,linear,10.0,scale,3,0.0,balanced,6,0.6262291593825462,0.13307176665688214,0.5746776755461113,0.7258890683572381
C,100.0,linear,100.0,scale,3,0.0,balanced,6,0.6259719577364558,0.1333720658264362,0.5741023588889234,0.7258384889280319
