parameter_name,parameter_value,kernel,C,gamma,degree,coef0,class_weight,csp_components,fold,subject,accuracy,f1_score,roc_auc
C,0.1,linear,0.1,scale,3,0.0,balanced,6,1,1,0.6888888888888889,0.7083333333333334,0.8517786561264822
C,0.1,linear,0.1,scale,3,0.0,balanced,6,2,2,0.7111111111111111,0.5806451612903226,0.8774703557312253
C,0.1,linear,0.1,scale,3,0.0,balanced,6,3,3,0.4666666666666667,0.4782608695652174,0.44071146245059295
C,0.1,linear,0.1,scale,3,0.0,balanced,6,4,4,0.4888888888888889,0.6567164179104478,0.8063241106719368
C,0.1,linear,0.1,scale,3,0.0,balanced,6,5,5,0.4888888888888889,0.6567164179104478,0.3650793650793651
C,0.1,linear,0.1,scale,3,0.0,balanced,6,6,6,0.5333333333333333,0.0,0.49999999999999994
C,0.1,linear,0.1,scale,3,0.0,balanced,6,7,7,0.7333333333333333,0.7857142857142857,0.9901185770750988
C,0.1,linear,0.1,scale,3,0.0,balanced,6,8,8,0.6222222222222222,0.6046511627906976,0.6976284584980237
C,0.1,linear,0.1,scale,3,0.0,balanced,6,9,9,0.5777777777777777,0.5777777777777777,0.5376984126984127
C,0.1,linear,0.1,scale,3,0.0,balanced,6,10,10,0.6222222222222222,0.6222222222222222,0.6805555555555556
C,0.1,linear,0.1,scale,3,0.0,balanced,6,11,11,0.5111111111111111,0.6666666666666666,0.4347826086956522
C,0.1,linear,0.1,scale,3,0.0,balanced,6,12,12,0.6222222222222222,0.5641025641025641,0.7023809523809524
C,0.1,linear,0.1,scale,3,0.0,balanced,6,13,13,0.8,0.8108108108108109,0.8823529411764706
C,0.1,linear,0.1,scale,3,0.0,balanced,6,14,14,0.6888888888888889,0.7586206896551724,0.7806324110671936
C,0.1,linear,0.1,scale,3,0.0,balanced,6,15,15,0.5777777777777777,0.6984126984126984,0.9486166007905139
C,0.1,linear,0.1,scale,3,0.0,balanced,6,16,16,0.5555555555555556,0.696969696969697,0.7351778656126482
C,0.1,linear,0.1,scale,3,0.0,balanced,6,17,17,0.5238095238095238,0.0,0.5795454545454546
C,0.1,linear,0.1,scale,3,0.0,balanced,6,18,18,0.5111111111111111,0.6451612903225806,0.4189723320158103
C,0.1,linear,0.1,scale,3,0.0,balanced,6,19,19,0.7111111111111111,0.7719298245614035,0.841897233201581
C,0.1,linear,0.1,scale,3,0.0,balanced,6,20,20,0.5555555555555556,0.47368421052631576,0.5849802371541502
C,0.1,linear,0.1,scale,3,0.0,balanced,6,21,21,0.5555555555555556,0.6296296296296297,0.7321428571428571
C,0.1,linear,0.1,scale,3,0.0,balanced,6,22,22,0.5111111111111111,0.6764705882352942,0.7351778656126483
C,0.1,linear,0.1,scale,3,0.0,balanced,6,23,23,0.6818181818181818,0.75,0.8512396694214877
C,0.1,linear,0.1,scale,3,0.0,balanced,6,24,24,0.5555555555555556,0.42857142857142855,0.6493506493506493
C,0.1,linear,0.1,scale,3,0.0,balanced,6,25,25,0.6666666666666666,0.7058823529411765,0.7707509881422926
C,0.1,linear,0.1,scale,3,0.0,balanced,6,26,26,0.6444444444444445,0.7241379310344828,0.7837301587301586
C,0.1,linear,0.1,scale,3,0.0,balanced,6,27,27,0.4888888888888889,0.6461538461538462,0.6007905138339921
C,0.1,linear,0.1,scale,3,0.0,balanced,6,28,28,0.4888888888888889,0.4888888888888889,0.5513833992094862
C,0.1,linear,0.1,scale,3,0.0,balanced,6,29,29,0.8444444444444444,0.8627450980392157,1.0
C,0.1,linear,0.1,scale,3,0.0,balanced,6,30,30,0.5333333333333333,0.16,0.6746031746031745
C,0.1,linear,0.1,scale,3,0.0,balanced,6,31,31,0.8888888888888888,0.8936170212765957,0.9644268774703557
C,0.1,linear,0.1,scale,3,0.0,balanced,6,32,32,0.7045454545454546,0.7796610169491526,0.9420289855072463
C,0.1,linear,0.1,scale,3,0.0,balanced,6,33,33,0.7333333333333333,0.6666666666666666,0.8557312252964426
C,0.1,linear,0.1,scale,3,0.0,balanced,6,34,34,0.8666666666666667,0.8888888888888888,0.9801587301587301
C,0.1,linear,0.1,scale,3,0.0,balanced,6,35,35,0.6222222222222222,0.41379310344827586,0.8399209486166008
C,0.1,linear,0.1,scale,3,0.0,balanced,6,36,36,0.36363636363636365,0.46153846153846156,0.4276859504132231
C,0.1,linear,0.1,scale,3,0.0,balanced,6,37,37,0.5111111111111111,0.0,0.575098814229249
C,0.1,linear,0.1,scale,3,0.0,balanced,6,38,38,0.5111111111111111,0.42105263157894735,0.5928853754940712
C,0.1,linear,0.1,scale,3,0.0,balanced,6,39,39,0.5,0.5416666666666666,0.5175983436853002
C,0.1,linear,0.1,scale,3,0.0,balanced,6,40,40,0.5333333333333333,0.5714285714285714,0.5198412698412699
C,0.1,linear,0.1,scale,3,0.0,balanced,6,41,41,0.7555555555555555,0.717948717948718,0.7837301587301587
C,0.1,linear,0.1,scale,3,0.0,balanced,6,42,42,0.9333333333333333,0.9333333333333333,0.9782608695652174
C,0.1,linear,0.1,scale,3,0.0,balanced,6,43,43,0.8,0.7567567567567568,0.9268774703557312
C,0.1,linear,0.1,scale,3,0.0,balanced,6,44,44,0.7586206896551724,0.7407407407407407,0.8285714285714286
C,0.1,linear,0.1,scale,3,0.0,balanced,6,45,45,0.5777777777777777,0.3448275862068966,0.8102766798418972
C,0.1,linear,0.1,scale,3,0.0,balanced,6,46,46,0.7333333333333333,0.7,0.7351778656126483
C,0.1,linear,0.1,scale,3,0.0,balanced,6,47,47,0.5777777777777777,0.6885245901639344,0.6031746031746033
