parameter_name,parameter_value,criterion,max_depth,min_samples_split,min_samples_leaf,class_weight,csp_components,mean_accuracy,std_accuracy,mean_f1,mean_auc
class_weight,,gini,5,10,5,,6,0.5657153512984784,0.09344277585157772,0.4064317761344218,0.5890495099141257
class_weight,balanced,gini,5,10,5,balanced,6,0.5657964191444042,0.09372279837066252,0.40755055439161714,0.5880229965856175
