parameter_name,parameter_value,hidden_size,num_layers,dropout_rate,bidirectional,learning_rate,batch_size,epochs,weight_decay,fold,subject,accuracy,f1_score,roc_auc,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,1,1,0.5111111111111111,0.0,0.4713438735177866,11.822849883996241,0.0030533459939761087,0.06785213319946909,0.2091379165649414,54146,0.00390625,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,2,2,0.5111111111111111,0.0,0.5474308300395256,11.799599464000494,0.003068222002184484,0.0681827111596552,0.2091379165649414,54146,0.0,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,3,3,0.5111111111111111,0.0,0.5079051383399209,11.821238980999624,0.003105588002654258,0.06901306672565018,0.2091379165649414,54146,0.0,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,4,4,0.5111111111111111,0.0,0.5009881422924901,11.822487056000682,0.003216286000679247,0.0714730222373166,0.2091379165649414,54146,0.0,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,5,5,0.4666666666666667,0.0,0.4553571428571429,11.814825963003386,0.003028690996870864,0.06730424437490809,0.2091379165649414,54146,0.0,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,6,6,0.5333333333333333,0.0,0.6021825396825397,11.815908930999285,0.0030218469983083196,0.06715215551796265,0.2091379165649414,54146,0.0,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,7,7,0.5111111111111111,0.0,0.66699604743083,11.827844972998719,0.0030176560030668043,0.06705902229037343,0.2091379165649414,54146,0.0,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,8,8,0.4888888888888889,0.0,0.6057312252964426,11.828669037000509,0.0030247800023062155,0.06721733338458258,0.2091379165649414,54146,0.0,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,9,9,0.5333333333333333,0.0,0.5496031746031745,11.830227975995513,0.0030283429950941354,0.06729651100209189,0.2091379165649414,54146,0.0,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,10,10,0.5333333333333333,0.0,0.40476190476190477,11.836728784997831,0.0030459420013357885,0.06768760002968419,0.2091379165649414,54146,0.0,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,11,11,0.5111111111111111,0.0,0.48023715415019763,11.822525259005488,0.0030459429981419817,0.06768762218093294,0.2091379165649414,54146,0.0,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,12,12,0.4666666666666667,0.0,0.503968253968254,11.82584162800049,0.003053624997846782,0.06785833328548405,0.2091379165649414,54146,0.0,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,13,13,0.5142857142857142,0.0,0.45915032679738566,11.853316780994646,0.0028853760013589635,0.08243931432454182,0.2091379165649414,54146,0.0,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,14,14,0.4888888888888889,0.0,0.6867588932806324,11.82678644999396,0.003088058001594618,0.06862351114654706,0.2091379165649414,54146,0.0,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,15,15,0.5111111111111111,0.0,0.3547430830039525,11.835432310006581,0.0032060199955594726,0.07124488879021051,0.2091379165649414,54146,0.0,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,16,16,0.4888888888888889,0.0,0.5059288537549407,11.838178072997835,0.0030219170002965257,0.06715371111770058,0.2091379165649414,54146,0.0,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,17,17,0.5238095238095238,0.0,0.49431818181818177,11.816703381999105,0.0030086469996604137,0.07163445237286699,0.2091379165649414,54146,0.0,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,18,18,0.4888888888888889,0.0,0.5009881422924901,11.819849757004704,0.003049853999982588,0.0677745333329464,0.2091379165649414,54146,0.0,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,19,19,0.5111111111111111,0.0,0.37450592885375494,11.818000135004695,0.0030410530016524717,0.06757895559227715,0.2091379165649414,54146,0.0,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,20,20,0.5111111111111111,0.0,0.5,11.838766839995515,0.0030232440039981157,0.06718320008884701,0.2091379165649414,54146,0.0,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,21,21,0.5333333333333333,0.0,0.5257936507936508,11.804223972001637,0.003099232002568897,0.06887182227930883,0.2091379165649414,54146,0.0,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,22,22,0.4888888888888889,0.0,0.46936758893280633,11.806055504996039,0.0030803740010014735,0.06845275557781053,0.2091379165649414,54146,0.0,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,23,23,0.5,0.0,0.5278925619834711,11.837694558002113,0.003012977002072148,0.06847675004709428,0.2091379165649414,54146,0.0,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,24,24,0.3888888888888889,0.0,0.487012987012987,11.846497632999672,0.0015504889961448498,0.08613827756360276,0.2091379165649414,54146,0.0,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,25,25,0.4888888888888889,0.0,0.6037549407114624,11.806106488998921,0.0030394480054383166,0.06754328900974038,0.2091379165649414,54146,0.0,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,26,26,0.5333333333333333,0.0,0.5902777777777778,11.829695991000335,0.003072132996749133,0.06826962214998074,0.2091379165649414,54146,0.0,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,27,27,0.5111111111111111,0.0,0.5612648221343873,11.8247479749989,0.0030769520017202012,0.06837671114933781,0.2091379165649414,54146,0.0,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,28,28,0.4888888888888889,0.0,0.5909090909090908,11.824203768002917,0.003077371002291329,0.06838602227314065,0.2091379165649414,54146,0.0,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,29,29,0.5111111111111111,0.0,0.4792490118577075,11.815863743999216,0.0030305079999379814,0.06734462222084403,0.2091379165649414,54146,0.0,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,30,30,0.5333333333333333,0.0,0.5208333333333333,11.818910105001123,0.0030983939941506833,0.06885319987001517,0.2091379165649414,54146,0.0,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,31,31,0.4888888888888889,0.0,0.47035573122529645,11.814121119998163,0.0030659870026283897,0.06813304450285311,0.2091379165649414,54146,0.00390625,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,32,32,0.4772727272727273,0.0,0.536231884057971,11.817957741994178,0.0030657769966637716,0.06967674992417663,0.2091379165649414,54146,0.0,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,33,33,0.5111111111111111,0.0,0.524703557312253,11.809525386997848,0.003057326997804921,0.06794059995122048,0.2091379165649414,54146,0.00390625,166.7333984375
