parameter_name,parameter_value,penalty,C,solver,class_weight,l1_ratio,csp_components,fold,subject,accuracy,f1_score,roc_auc
penalty,l1,l1,1.0,liblinear,balanced,,6,1,1,0.7555555555555555,0.7843137254901961,0.8438735177865613
penalty,l1,l1,1.0,liblinear,balanced,,6,2,2,0.7111111111111111,0.5806451612903226,0.875494071146245
penalty,l1,l1,1.0,liblinear,balanced,,6,3,3,0.4666666666666667,0.4782608695652174,0.432806324110672
penalty,l1,l1,1.0,liblinear,balanced,,6,4,4,0.4888888888888889,0.6567164179104478,0.8122529644268774
penalty,l1,l1,1.0,liblinear,balanced,,6,5,5,0.4888888888888889,0.6567164179104478,0.35714285714285715
penalty,l1,l1,1.0,liblinear,balanced,,6,6,6,0.5333333333333333,0.0,0.494047619047619
penalty,l1,l1,1.0,liblinear,balanced,,6,7,7,0.7111111111111111,0.7719298245614035,0.9881422924901186
penalty,l1,l1,1.0,liblinear,balanced,,6,8,8,0.6444444444444445,0.6521739130434783,0.6936758893280632
penalty,l1,l1,1.0,liblinear,balanced,,6,9,9,0.6222222222222222,0.6046511627906976,0.5376984126984128
penalty,l1,l1,1.0,liblinear,balanced,,6,10,10,0.6444444444444445,0.6521739130434783,0.6805555555555555
penalty,l1,l1,1.0,liblinear,balanced,,6,11,11,0.5111111111111111,0.6666666666666666,0.4328063241106719
penalty,l1,l1,1.0,liblinear,balanced,,6,12,12,0.6222222222222222,0.5853658536585366,0.7123015873015873
penalty,l1,l1,1.0,liblinear,balanced,,6,13,13,0.8,0.8108108108108109,0.892156862745098
penalty,l1,l1,1.0,liblinear,balanced,,6,14,14,0.6666666666666666,0.7457627118644068,0.7944664031620554
penalty,l1,l1,1.0,liblinear,balanced,,6,15,15,0.5555555555555556,0.6875,0.9505928853754941
penalty,l1,l1,1.0,liblinear,balanced,,6,16,16,0.5333333333333333,0.6865671641791045,0.7312252964426877
penalty,l1,l1,1.0,liblinear,balanced,,6,17,17,0.5238095238095238,0.0,0.5909090909090909
penalty,l1,l1,1.0,liblinear,balanced,,6,18,18,0.4888888888888889,0.6461538461538462,0.41304347826086957
penalty,l1,l1,1.0,liblinear,balanced,,6,19,19,0.7111111111111111,0.7719298245614035,0.841897233201581
penalty,l1,l1,1.0,liblinear,balanced,,6,20,20,0.5555555555555556,0.5,0.5869565217391304
penalty,l1,l1,1.0,liblinear,balanced,,6,21,21,0.5555555555555556,0.6296296296296297,0.7222222222222222
penalty,l1,l1,1.0,liblinear,balanced,,6,22,22,0.5111111111111111,0.6764705882352942,0.733201581027668
penalty,l1,l1,1.0,liblinear,balanced,,6,23,23,0.6590909090909091,0.7368421052631579,0.859504132231405
penalty,l1,l1,1.0,liblinear,balanced,,6,24,24,0.5555555555555556,0.42857142857142855,0.6363636363636364
penalty,l1,l1,1.0,liblinear,balanced,,6,25,25,0.6888888888888889,0.72,0.7628458498023716
penalty,l1,l1,1.0,liblinear,balanced,,6,26,26,0.6222222222222222,0.711864406779661,0.7896825396825397
penalty,l1,l1,1.0,liblinear,balanced,,6,27,27,0.4888888888888889,0.6567164179104478,0.5968379446640316
penalty,l1,l1,1.0,liblinear,balanced,,6,28,28,0.4888888888888889,0.4888888888888889,0.5573122529644268
penalty,l1,l1,1.0,liblinear,balanced,,6,29,29,0.8222222222222222,0.8461538461538461,1.0
penalty,l1,l1,1.0,liblinear,balanced,,6,30,30,0.5555555555555556,0.23076923076923078,0.6746031746031745
penalty,l1,l1,1.0,liblinear,balanced,,6,31,31,0.8666666666666667,0.875,0.9644268774703557
penalty,l1,l1,1.0,liblinear,balanced,,6,32,32,0.7045454545454546,0.7796610169491526,0.9503105590062112
penalty,l1,l1,1.0,liblinear,balanced,,6,33,33,0.7333333333333333,0.6666666666666666,0.8517786561264822
penalty,l1,l1,1.0,liblinear,balanced,,6,34,34,0.8666666666666667,0.8888888888888888,0.9841269841269841
penalty,l1,l1,1.0,liblinear,balanced,,6,35,35,0.6666666666666666,0.5454545454545454,0.8399209486166008
penalty,l1,l1,1.0,liblinear,balanced,,6,36,36,0.36363636363636365,0.46153846153846156,0.4049586776859504
penalty,l1,l1,1.0,liblinear,balanced,,6,37,37,0.5111111111111111,0.0,0.5731225296442688
penalty,l1,l1,1.0,liblinear,balanced,,6,38,38,0.5333333333333333,0.43243243243243246,0.5948616600790514
penalty,l1,l1,1.0,liblinear,balanced,,6,39,39,0.5,0.5,0.5196687370600415
penalty,l1,l1,1.0,liblinear,balanced,,6,40,40,0.6,0.6666666666666666,0.5337301587301587
penalty,l1,l1,1.0,liblinear,balanced,,6,41,41,0.7333333333333333,0.7142857142857143,0.7757936507936508
penalty,l1,l1,1.0,liblinear,balanced,,6,42,42,0.9333333333333333,0.9333333333333333,0.974308300395257
penalty,l1,l1,1.0,liblinear,balanced,,6,43,43,0.8,0.7567567567567568,0.9288537549407114
penalty,l1,l1,1.0,liblinear,balanced,,6,44,44,0.7241379310344828,0.6923076923076923,0.8380952380952381
penalty,l1,l1,1.0,liblinear,balanced,,6,45,45,0.5555555555555556,0.2857142857142857,0.808300395256917
penalty,l1,l1,1.0,liblinear,balanced,,6,46,46,0.6444444444444445,0.6521739130434783,0.725296442687747
