parameter_name,parameter_value,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,csp_components,fold,subject,accuracy,f1_score,roc_auc
criterion,gini,200,gini,10,10,5,sqrt,balanced,6,44,44,0.6896551724137931,0.6666666666666666,0.7095238095238094
criterion,gini,200,gini,10,10,5,sqrt,balanced,6,45,45,0.6222222222222222,0.37037037037037035,0.7292490118577075
criterion,gini,200,gini,10,10,5,sqrt,balanced,6,46,46,0.5555555555555556,0.5454545454545454,0.5553359683794468
criterion,gini,200,gini,10,10,5,sqrt,balanced,6,47,47,0.4666666666666667,0.5384615384615384,0.5615079365079365
criterion,gini,200,gini,10,10,5,sqrt,balanced,6,48,48,0.7058823529411765,0.7058823529411765,0.8142857142857144
criterion,gini,200,gini,10,10,5,sqrt,balanced,6,49,49,0.8222222222222222,0.8095238095238095,0.9011857707509882
criterion,gini,200,gini,10,10,5,sqrt,balanced,6,50,50,0.5111111111111111,0.0,0.6185770750988142
criterion,gini,200,gini,10,10,5,sqrt,balanced,6,51,51,0.5333333333333333,0.0,0.4920634920634921
criterion,gini,200,gini,10,10,5,sqrt,balanced,6,52,52,0.7317073170731707,0.6206896551724138,0.8564593301435407
criterion,gini,200,gini,10,10,5,sqrt,balanced,6,53,53,0.5348837209302325,0.375,0.5974025974025974
criterion,gini,200,gini,10,10,5,sqrt,balanced,6,54,54,0.5641025641025641,0.6382978723404256,0.8206521739130435
criterion,gini,200,gini,10,10,5,sqrt,balanced,6,55,55,0.6888888888888889,0.5333333333333333,0.9426877470355732
criterion,gini,200,gini,10,10,5,sqrt,balanced,6,56,56,0.8409090909090909,0.8292682926829268,0.9338842975206612
criterion,gini,200,gini,10,10,5,sqrt,balanced,6,57,57,0.6888888888888889,0.6666666666666666,0.6984126984126985
criterion,gini,200,gini,10,10,5,sqrt,balanced,6,58,58,0.5333333333333333,0.5882352941176471,0.5813492063492064
criterion,gini,200,gini,10,10,5,sqrt,balanced,6,59,59,0.4666666666666667,0.07692307692307693,0.44246031746031744
criterion,gini,200,gini,10,10,5,sqrt,balanced,6,60,60,0.8181818181818182,0.8181818181818182,0.9132231404958678
criterion,gini,200,gini,10,10,5,sqrt,balanced,6,61,61,0.7674418604651163,0.7368421052631579,0.8701298701298701
criterion,gini,200,gini,10,10,5,sqrt,balanced,6,62,62,0.8444444444444444,0.8372093023255814,0.9505928853754941
criterion,gini,200,gini,10,10,5,sqrt,balanced,6,63,63,0.5813953488372093,0.35714285714285715,0.5800865800865801
criterion,gini,200,gini,10,10,5,sqrt,balanced,6,64,64,0.7333333333333333,0.76,0.7549407114624506
criterion,gini,200,gini,10,10,5,sqrt,balanced,6,65,65,0.6888888888888889,0.65,0.7619047619047619
criterion,gini,200,gini,10,10,5,sqrt,balanced,6,66,66,0.4222222222222222,0.4583333333333333,0.4901185770750988
criterion,gini,200,gini,10,10,5,sqrt,balanced,6,67,67,0.5333333333333333,0.27586206896551724,0.5988142292490118
criterion,gini,200,gini,10,10,5,sqrt,balanced,6,68,68,0.4666666666666667,0.0,0.5909090909090909
criterion,gini,200,gini,10,10,5,sqrt,balanced,6,69,69,0.5333333333333333,0.46153846153846156,0.6130952380952381
criterion,gini,200,gini,10,10,5,sqrt,balanced,6,70,70,0.6666666666666666,0.6341463414634146,0.7075098814229248
criterion,gini,200,gini,10,10,5,sqrt,balanced,6,71,71,0.6,0.35714285714285715,0.9090909090909091
criterion,gini,200,gini,10,10,5,sqrt,balanced,6,72,72,0.8222222222222222,0.8181818181818182,0.9189723320158103
criterion,gini,200,gini,10,10,5,sqrt,balanced,6,73,73,0.5777777777777777,0.3870967741935484,0.7391304347826088
criterion,gini,200,gini,10,10,5,sqrt,balanced,6,74,74,0.5555555555555556,0.3333333333333333,0.49404761904761907
criterion,gini,200,gini,10,10,5,sqrt,balanced,6,75,75,0.6829268292682927,0.6829268292682927,0.7904761904761904
criterion,gini,200,gini,10,10,5,sqrt,balanced,6,76,76,0.5777777777777777,0.6779661016949152,0.7015810276679842
criterion,gini,200,gini,10,10,5,sqrt,balanced,6,77,77,0.5555555555555556,0.6153846153846154,0.5376984126984127
criterion,gini,200,gini,10,10,5,sqrt,balanced,6,78,78,0.5555555555555556,0.6296296296296297,0.616600790513834
criterion,gini,200,gini,10,10,5,sqrt,balanced,6,79,79,0.6,0.42857142857142855,0.635
